name,year,imdb_rating,metascore,votes,genre,runtime
The Dark Knight Rises,(2012),8.4,78,1707459,"Action, Drama",164
Django Unchained,(2012),8.4,81,1557229,"Drama, Western",165
The Avengers,(2012),8.0,69,1393706,"Action, Adventure, Sci-Fi",143
The Hunger Games,(2012),7.2,68,922420,"Action, Adventure, Sci-Fi",142
The Hobbit: An Unexpected Journey,(2012),7.8,58,831915,"Adventure, Fantasy",169
Silver Linings Playbook,(2012),7.7,81,712669,"Comedy, Drama, Romance",122
Skyfall,(2012),7.8,81,700479,"Action, Adventure, Thriller",143
The Amazing Spider-Man,(2012),6.9,66,659645,"Action, Adventure, Sci-Fi",136
Life of Pi,(2012),7.9,79,634144,"Adventure, Drama, Fantasy",127
Ted,(2012),6.9,62,618960,Comedy,106
Argo,(2012),7.7,86,617368,"Biography, Drama, Thriller",120
Prometheus,(I) (2012),7.0,64,613082,"Adventure, Mystery, Sci-Fi",124
Looper,(2012),7.4,84,579591,"Action, Drama, Sci-Fi",119
21 Jump Street,(2012),7.2,69,562550,"Action, Comedy, Crime",109
The Perks of Being a Wallflower,(2012),7.9,67,515801,Drama,103
Wreck-It Ralph,(2012),7.7,72,426385,"Animation, Adventure, Comedy",101
Brave,(2012),7.1,69,415189,"Animation, Adventure, Comedy",93
Men in Black 3,(2012),6.8,58,366435,"Action, Adventure, Comedy",106
Cloud Atlas,(2012),7.4,55,364351,"Drama, Mystery, Sci-Fi",172
Flight,(I) (2012),7.3,76,357285,"Drama, Thriller",138
Moonrise Kingdom,(2012),7.8,84,352659,"Comedy, Drama, Family",94
Jack Reacher,(2012),7.0,50,344678,"Action, Mystery, Thriller",130
The Hunt,(2012),8.3,77,332791,Drama,115
Les Misérables,(2012),7.5,63,332307,"Drama, Musical, Romance",158
The Dictator,(2012),6.4,58,311082,Comedy,83
Taken 2,(2012),6.2,45,309633,"Action, Crime, Thriller",92
The Expendables 2,(2012),6.6,51,309555,"Action, Adventure, Thriller",103
Pitch Perfect,(2012),7.1,66,309300,"Comedy, Music, Romance",112
The Bourne Legacy,(2012),6.6,61,304586,"Action, Adventure, Thriller",135
Zero Dark Thirty,(2012),7.4,95,304054,"Drama, History, Thriller",157
Snow White and the Huntsman,(2012),6.1,57,292022,"Action, Adventure, Drama",127
Dredd,(2012),7.1,60,278096,"Action, Crime, Sci-Fi",95
John Carter,(2012),6.6,51,275143,"Action, Adventure, Sci-Fi",132
The Place Beyond the Pines,(2012),7.3,68,271793,"Crime, Drama, Thriller",140
Dark Shadows,(2012),6.2,55,270042,"Comedy, Fantasy, Horror",113
Lincoln,(2012),7.3,86,262443,"Biography, Drama, History",150
Seven Psychopaths,(2012),7.1,66,260756,"Comedy, Crime",110
Hotel Transylvania,(2012),7.0,47,259110,"Animation, Adventure, Comedy",91
Sinister,(I) (2012),6.8,53,256655,"Horror, Mystery, Thriller",110
Total Recall,(I) (2012),6.2,43,256548,"Action, Adventure, Sci-Fi",118
Chronicle,(2012),7.0,69,253713,"Action, Drama, Sci-Fi",84
End of Watch,(2012),7.6,68,251439,"Action, Adventure, Crime",109
The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,251240,"Adventure, Drama, Fantasy",115
Battleship,(2012),5.8,41,249750,"Action, Adventure, Sci-Fi",131
Lawless,(2012),7.2,58,244140,"Biography, Crime, Drama",116
The Impossible,(2012),7.5,73,226277,"Adventure, Drama, History",114
Safe House,(2012),6.7,52,225185,"Action, Thriller",115
American Reunion,(2012),6.7,49,216303,Comedy,113
Project X,(2012),6.6,48,213541,Comedy,88
Ice Age: Continental Drift,(2012),6.5,49,211715,"Animation, Adventure, Comedy",88
The Vow,(2012),6.8,43,196222,"Drama, Romance",104
Wrath of the Titans,(2012),5.7,37,190668,"Action, Adventure, Fantasy",99
This Means War,(2012),6.3,31,188332,"Action, Comedy, Romance",103
The Woman in Black,(2012),6.4,62,185615,"Drama, Fantasy, Horror",95
Madagascar 3: Europe's Most Wanted,(2012),6.8,60,184153,"Animation, Adventure, Comedy",93
Mud,(2012),7.4,76,181036,Drama,130
Rise of the Guardians,(2012),7.2,58,178763,"Animation, Action, Adventure",97
The Master,(2012),7.1,86,176646,Drama,138
Abraham Lincoln: Vampire Hunter,(2012),5.9,42,157231,"Action, Fantasy, Horror",105
Underworld: Awakening,(2012),6.3,39,155953,"Action, Fantasy, Horror",88
Man on a Ledge,(2012),6.6,40,154054,"Action, Crime, Thriller",102
Killing Them Softly,(2012),6.2,64,146377,"Crime, Drama, Thriller",97
Resident Evil: Retribution,(2012),5.3,39,144211,"Action, Horror, Sci-Fi",95
Spring Breakers,(2012),5.3,63,143580,"Crime, Drama, Thriller",94
